iter	RMSE
0	4264.131909
1	3981.314748
2	3733.580861
3	3516.42432
4	3321.417381
5	3154.173173
6	3003.787479
7	2880.293083
8	2771.466672
9	2676.171647
10	2582.989064
11	2503.610001
12	2432.863936
13	2373.570751
14	2322.081546
15	2277.611942
16	2239.479825
17	2208.866302
18	2182.011363
19	2150.828227
20	2123.340301
21	2101.101667
22	2080.538985
23	2060.349191
24	2037.428911
25	2021.320256
26	2007.055916
27	1991.790554
28	1981.938721
29	1971.588926
30	1962.768368
31	1953.6208
32	1947.18934
33	1939.348743
34	1932.677118
35	1926.387847
36	1920.165058
37	1915.579323
38	1911.341824
39	1905.513242
40	1902.05716
41	1899.196236
42	1893.855558
43	1889.101322
44	1886.416762
45	1882.717672
46	1880.474945
47	1876.725922
48	1873.961925
49	1871.964882
50	1869.607494
51	1866.918394
52	1865.062496
53	1862.162102
54	1859.238256
55	1856.937406
56	1854.706752
57	1850.48765
58	1848.524164
59	1845.32898
60	1843.744114
61	1841.531756
62	1839.938518
63	1838.496501
64	1836.376879
65	1834.584277
66	1832.471662
67	1831.395625
68	1830.110358
69	1827.918235
70	1826.402408
71	1825.008364
72	1822.067443
73	1818.356838
74	1816.090646
75	1814.758213
76	1812.352837
77	1809.81145
78	1808.007681
79	1806.86272
80	1804.80368
81	1802.922965
82	1800.979405
83	1798.683694
84	1797.316217
85	1796.228441
86	1794.019647
87	1791.983959
88	1790.20183
89	1789.499343
90	1788.261086
91	1786.2488
92	1785.221224
93	1783.646527
94	1781.295245
95	1780.732229
96	1779.363843
97	1778.524057
98	1777.009107
99	1776.467789
