iter	Passed	Remaining
0	47	4709
1	92	4548
2	139	4503
3	184	4421
4	231	4389
5	281	4404
6	330	4387
7	377	4339
8	424	4296
9	467	4204
10	514	4162
11	560	4107
12	604	4042
13	647	3976
14	692	3923
15	733	3852
16	775	3786
17	820	3740
18	867	3697
19	909	3638
20	953	3587
21	998	3540
22	1044	3497
23	1093	3462
24	1137	3411
25	1178	3354
26	1219	3296
27	1262	3245
28	1306	3198
29	1350	3150
30	1392	3099
31	1438	3057
32	1487	3021
33	1536	2982
34	1586	2947
35	1637	2910
36	1686	2871
37	1736	2832
38	1788	2797
39	1839	2759
40	1888	2718
41	1933	2670
42	1979	2623
43	2024	2576
44	2069	2529
45	2118	2486
46	2167	2444
47	2216	2401
48	2265	2358
49	2313	2313
50	2358	2265
51	2423	2237
52	2486	2205
53	2536	2160
54	2582	2112
55	2629	2066
56	2675	2018
57	2720	1970
58	2765	1922
59	2812	1875
60	2858	1827
61	2904	1780
62	2951	1733
63	3005	1690
64	3055	1645
65	3103	1599
66	3153	1553
67	3203	1507
68	3248	1459
69	3292	1411
70	3338	1363
71	3392	1319
72	3443	1273
73	3489	1225
74	3535	1178
75	3580	1130
76	3624	1082
77	3667	1034
78	3711	986
79	3757	939
80	3800	891
81	3843	843
82	3887	796
83	3933	749
84	3979	702
85	4025	655
86	4069	608
87	4112	560
88	4155	513
89	4199	466
90	4245	419
91	4289	373
92	4332	326
93	4375	279
94	4420	232
95	4466	186
96	4511	139
97	4562	93
98	4612	46
99	4660	0
