iter	RMSE
0	34.06266575
1	32.62439754
2	31.30670204
3	30.2664248
4	29.54983919
5	28.66346749
6	27.97612944
7	27.36692355
8	26.89270651
9	26.37706051
10	25.99877118
11	25.58509495
12	25.30116551
13	25.04791151
14	24.72231815
15	24.52527194
16	24.29381968
17	24.10085411
18	23.93356693
19	23.82128587
20	23.70362073
21	23.52223862
22	23.36457081
23	23.26433162
24	23.17796094
25	23.10450167
26	23.00280665
27	22.85186799
28	22.68585667
29	22.58071314
30	22.46566465
31	22.39530713
32	22.3620788
33	22.2688521
34	22.18165648
35	22.03926898
36	21.96720804
37	21.90455799
38	21.81823182
39	21.76409666
40	21.7065667
41	21.64484603
42	21.59217077
43	21.54283099
44	21.48681877
45	21.40608201
46	21.36432406
47	21.31853125
48	21.24888066
49	21.22424534
50	21.15429041
51	21.11235748
52	21.07891122
53	21.03428767
54	20.99390913
55	20.96444468
56	20.94183179
57	20.90309131
58	20.85285891
59	20.8232081
60	20.80548102
61	20.76416026
62	20.73591859
63	20.67778377
64	20.62153108
65	20.57629176
66	20.53906301
67	20.49586136
68	20.46080633
69	20.40408432
70	20.36712349
71	20.3454361
72	20.31197775
73	20.26663179
74	20.22834167
75	20.17800912
76	20.14844594
77	20.12096434
78	20.08693843
79	20.05233151
80	20.01274865
81	19.97755981
82	19.96839906
83	19.92118285
84	19.90312896
85	19.88439248
86	19.85159851
87	19.83709127
88	19.81701826
89	19.7928807
90	19.75585149
91	19.7028157
92	19.67761835
93	19.65516148
94	19.61165684
95	19.60299132
96	19.58684648
97	19.55464429
98	19.52674363
99	19.49382734
