iter	Passed	Remaining
0	133	13204
1	134	6584
2	135	4376
3	136	3270
4	137	2609
5	138	2166
6	139	1850
7	140	1612
8	141	1426
9	142	1278
10	143	1157
11	143	1055
12	144	969
13	145	895
14	146	831
15	147	775
16	148	726
17	149	681
18	150	641
19	151	605
20	152	573
21	153	543
22	154	515
23	154	490
24	155	467
25	156	446
26	157	426
27	158	407
28	159	390
29	160	374
30	161	358
31	162	344
32	163	331
33	164	318
34	165	306
35	166	295
36	166	284
37	167	273
38	168	264
39	169	254
40	170	245
41	171	237
42	172	228
43	173	220
44	174	213
45	175	205
46	176	198
47	177	191
48	178	185
49	179	179
50	180	172
51	180	167
52	181	161
53	182	155
54	183	150
55	184	145
56	185	140
57	186	135
58	187	130
59	188	125
60	189	121
61	190	116
62	191	112
63	192	108
64	193	104
65	194	100
66	195	96
67	196	92
68	196	88
69	197	84
70	198	81
71	199	77
72	200	74
73	201	70
74	202	67
75	203	64
76	204	61
77	205	57
78	206	54
79	207	51
80	208	48
81	209	45
82	210	43
83	211	40
84	212	37
85	212	34
86	213	31
87	214	29
88	215	26
89	216	24
90	217	21
91	218	18
92	219	16
93	219	14
94	220	11
95	221	9
96	222	6
97	223	4
98	224	2
99	225	0
