iter	Passed	Remaining
0	181	90377
1	226	56362
2	262	43413
3	298	36971
4	336	33295
5	383	31534
6	427	30098
7	462	28454
8	505	27599
9	552	27074
10	587	26108
11	622	25329
12	656	24586
13	694	24092
14	743	24053
15	788	23852
16	835	23745
17	883	23662
18	917	23237
19	959	23035
20	993	22658
21	1038	22559
22	1071	22219
23	1105	21934
24	1150	21865
25	1198	21840
26	1231	21567
27	1277	21532
28	1311	21299
29	1353	21204
30	1386	20978
31	1420	20779
32	1465	20736
33	1497	20531
34	1531	20343
35	1576	20318
36	1611	20167
37	1644	19999
38	1689	19970
39	1733	19937
40	1767	19786
41	1800	19630
42	1847	19631
43	1881	19498
44	1922	19438
45	1954	19293
46	1988	19163
47	2033	19147
48	2065	19015
49	2111	19006
50	2145	18885
51	2180	18782
52	2225	18768
53	2259	18664
54	2293	18555
55	2332	18496
56	2368	18404
57	2412	18383
58	2445	18277
59	2479	18181
60	2512	18085
61	2548	18003
62	2584	17930
63	2620	17849
64	2664	17830
65	2697	17735
66	2731	17650
67	2763	17554
68	2804	17515
69	2837	17428
70	2871	17353
71	2917	17342
72	2963	17333
73	2995	17246
74	3041	17235
75	3076	17165
76	3120	17143
77	3164	17121
78	3212	17119
79	3247	17051
80	3281	16972
81	3322	16937
82	3356	16862
83	3400	16839
84	3446	16828
85	3493	16815
86	3527	16746
87	3560	16670
88	3604	16645
89	3637	16571
90	3672	16505
91	3705	16432
92	3738	16362
93	3772	16291
94	3810	16244
95	3843	16173
96	3877	16108
97	3911	16043
98	3945	15979
99	3979	15918
100	4014	15860
101	4048	15796
102	4081	15729
103	4126	15712
104	4171	15693
105	4207	15637
106	4252	15618
107	4286	15557
108	4322	15504
109	4355	15443
110	4392	15395
111	4426	15333
112	4460	15276
113	4494	15216
114	4527	15156
115	4568	15123
116	4603	15068
117	4646	15043
118	4693	15026
119	4752	15050
120	4785	14990
121	4819	14932
122	4866	14915
123	4899	14858
124	4936	14808
125	4970	14752
126	5004	14697
127	5039	14646
128	5074	14593
129	5120	14574
130	5154	14520
131	5192	14474
132	5225	14420
133	5259	14366
134	5309	14355
135	5356	14337
136	5390	14282
137	5423	14227
138	5459	14179
139	5493	14126
140	5539	14103
141	5573	14052
142	5619	14028
143	5651	13972
144	5686	13922
145	5721	13873
146	5758	13828
147	5792	13775
148	5826	13724
149	5858	13670
150	5893	13620
151	5930	13576
152	5962	13523
153	6009	13501
154	6042	13449
155	6085	13418
156	6118	13366
157	6151	13315
158	6188	13271
159	6228	13235
160	6261	13183
161	6293	13131
162	6338	13105
163	6372	13055
164	6406	13006
165	6450	12977
166	6483	12927
167	6519	12883
168	6552	12833
169	6593	12798
170	6627	12750
171	6661	12703
172	6704	12673
173	6738	12624
174	6772	12577
175	6807	12531
176	6845	12492
177	6880	12447
178	6914	12399
179	6947	12350
180	6980	12302
181	7013	12254
182	7048	12209
183	7082	12164
184	7116	12116
185	7149	12070
186	7192	12039
187	7228	11996
188	7272	11967
189	7306	11920
190	7339	11873
191	7372	11827
192	7405	11780
193	7438	11733
194	7477	11696
195	7510	11648
196	7544	11603
197	7588	11573
198	7624	11532
199	7657	11486
200	7696	11449
201	7729	11403
202	7762	11357
203	7797	11313
204	7830	11268
205	7873	11236
206	7918	11208
207	7953	11165
208	7986	11119
209	8029	11087
210	8062	11042
211	8110	11017
212	8157	10991
213	8190	10946
214	8233	10914
215	8280	10887
216	8321	10851
217	8356	10810
218	8389	10764
219	8423	10720
220	8469	10692
221	8504	10650
222	8535	10602
223	8581	10573
224	8615	10530
225	8651	10488
226	8693	10454
227	8725	10409
228	8759	10365
229	8793	10322
230	8826	10278
231	8859	10234
232	8899	10197
233	8931	10153
234	8966	10111
235	9010	10079
236	9057	10051
237	9103	10021
238	9137	9978
239	9182	9947
240	9215	9903
241	9248	9860
242	9294	9830
243	9328	9787
244	9361	9743
245	9396	9702
246	9434	9663
247	9466	9618
248	9500	9576
249	9536	9536
250	9571	9495
251	9610	9457
252	9644	9415
253	9688	9383
254	9723	9341
255	9757	9300
256	9791	9257
257	9833	9223
258	9866	9180
259	9909	9147
260	9956	9117
261	9989	9074
262	10035	9043
263	10079	9010
264	10112	8967
265	10145	8925
266	10178	8882
267	10211	8840
268	10245	8797
269	10287	8763
270	10321	8722
271	10358	8682
272	10393	8642
273	10427	8600
274	10460	8558
275	10493	8516
276	10538	8484
277	10572	8442
278	10617	8410
279	10653	8370
280	10695	8335
281	10729	8294
282	10762	8252
283	10805	8218
284	10838	8176
285	10883	8143
286	10929	8111
287	10962	8069
288	11000	8031
289	11033	7989
290	11067	7948
291	11101	7907
292	11133	7865
293	11168	7825
294	11202	7784
295	11235	7743
296	11270	7703
297	11305	7663
298	11338	7622
299	11372	7581
300	11405	7540
301	11437	7498
302	11481	7464
303	11513	7423
304	11546	7382
305	11592	7349
306	11637	7316
307	11671	7275
308	11717	7242
309	11764	7210
310	11799	7170
311	11834	7130
312	11867	7090
313	11903	7051
314	11937	7010
315	11971	6970
316	12015	6936
317	12061	6903
318	12096	6863
319	12129	6822
320	12171	6787
321	12205	6747
322	12238	6706
323	12281	6671
324	12314	6631
325	12347	6590
326	12380	6550
327	12423	6514
328	12457	6475
329	12503	6441
330	12535	6400
331	12570	6360
332	12603	6320
333	12643	6284
334	12677	6244
335	12711	6204
336	12755	6169
337	12788	6129
338	12834	6095
339	12868	6055
340	12903	6016
341	12936	5976
342	12968	5936
343	13001	5896
344	13039	5858
345	13073	5818
346	13107	5779
347	13141	5740
348	13182	5703
349	13228	5669
350	13260	5629
351	13294	5589
352	13339	5554
353	13371	5514
354	13416	5480
355	13452	5441
356	13494	5405
357	13528	5365
358	13574	5331
359	13607	5291
360	13654	5257
361	13686	5217
362	13721	5178
363	13755	5139
364	13789	5100
365	13822	5060
366	13856	5021
367	13889	4982
368	13922	4942
369	13968	4907
370	14002	4868
371	14036	4829
372	14072	4791
373	14107	4752
374	14139	4713
375	14174	4674
376	14206	4635
377	14239	4595
378	14273	4557
379	14313	4520
380	14347	4481
381	14382	4442
382	14421	4405
383	14455	4366
384	14488	4327
385	14520	4288
386	14563	4252
387	14596	4213
388	14628	4174
389	14674	4138
390	14709	4100
391	14752	4064
392	14786	4025
393	14819	3986
394	14853	3948
395	14893	3911
396	14929	3873
397	14964	3835
398	14999	3796
399	15033	3758
400	15067	3719
401	15102	3681
402	15148	3646
403	15194	3610
404	15228	3572
405	15273	3536
406	15307	3497
407	15352	3461
408	15388	3423
409	15424	3385
410	15462	3348
411	15496	3309
412	15540	3273
413	15589	3238
414	15623	3199
415	15680	3166
416	15714	3127
417	15750	3089
418	15785	3051
419	15823	3014
420	15858	2975
421	15894	2937
422	15928	2899
423	15963	2861
424	15998	2823
425	16043	2786
426	16077	2748
427	16111	2710
428	16155	2673
429	16188	2635
430	16220	2596
431	16252	2558
432	16287	2520
433	16329	2483
434	16362	2444
435	16409	2408
436	16455	2372
437	16489	2334
438	16523	2295
439	16556	2257
440	16599	2220
441	16633	2182
442	16679	2146
443	16726	2109
444	16758	2071
445	16804	2034
446	16838	1996
447	16871	1958
448	16913	1921
449	16948	1883
450	16982	1845
451	17017	1807
452	17049	1768
453	17083	1730
454	17118	1693
455	17152	1655
456	17197	1618
457	17230	1580
458	17274	1543
459	17309	1505
460	17356	1468
461	17388	1430
462	17421	1392
463	17454	1354
464	17495	1316
465	17527	1278
466	17573	1241
467	17607	1203
468	17639	1165
469	17683	1128
470	17715	1090
471	17749	1052
472	17784	1015
473	17825	977
474	17859	939
475	17893	902
476	17925	864
477	17963	826
478	17997	789
479	18043	751
480	18078	714
481	18111	676
482	18146	638
483	18183	601
484	18215	563
485	18261	526
486	18307	488
487	18354	451
488	18387	413
489	18420	375
490	18452	338
491	18495	300
492	18527	263
493	18560	225
494	18604	187
495	18638	150
496	18682	112
497	18716	75
498	18761	37
499	18798	0
