iter	Logloss
0	0.5696444149
1	0.4718815861
2	0.4014206142
3	0.349168829
4	0.3044944849
5	0.2704612846
6	0.2440431576
7	0.2256148319
8	0.2105999546
9	0.1989580097
10	0.1894761381
11	0.1820897484
12	0.177825345
13	0.1726151834
14	0.1685720925
15	0.1662158446
16	0.1635713186
17	0.1610850439
18	0.1594939642
19	0.1583770766
20	0.1574042306
21	0.1558484445
22	0.1548260579
23	0.1534739957
24	0.1518948169
25	0.1507606788
26	0.1501778393
27	0.1489999042
28	0.1480786624
29	0.1475259495
30	0.14703859
31	0.146396543
32	0.1459143176
33	0.1455107665
34	0.1450903583
35	0.144627305
36	0.1439403849
37	0.1435791111
38	0.142959106
39	0.1425365381
40	0.1420307817
41	0.141615799
42	0.1408986845
43	0.1406460052
44	0.1403641958
45	0.1401047664
46	0.1397331266
47	0.1394084249
48	0.1391877122
49	0.1389165201
50	0.1387027993
51	0.1382297668
52	0.1376039081
53	0.1373661819
54	0.1371387453
55	0.1368525219
56	0.1365070591
57	0.1362238102
58	0.1358637877
59	0.1355520549
60	0.1353818498
61	0.1350340405
62	0.134888154
63	0.1346193981
64	0.1344262586
65	0.1342629972
66	0.1340690727
67	0.1338957753
68	0.1336968851
69	0.1335498238
70	0.1332284513
71	0.1330665784
72	0.1327296276
73	0.1325839596
74	0.1324045329
75	0.132097723
76	0.1318094563
77	0.1316940618
78	0.1314338422
79	0.131118793
80	0.1309684334
81	0.1307276478
82	0.1304523525
83	0.1301223378
84	0.1300241556
85	0.1298371172
86	0.1296405973
87	0.1294952912
88	0.1293357358
89	0.1290609031
90	0.1289195151
91	0.1287313862
92	0.1285768676
93	0.1284720578
94	0.1283033195
95	0.1281763234
96	0.1280562339
97	0.1278954263
98	0.1276840196
99	0.1274413171
100	0.1273174386
101	0.127186995
102	0.1270551505
103	0.1268854928
104	0.1267884092
105	0.1265596333
106	0.1263670459
107	0.1262367043
108	0.1259782252
109	0.1258187251
110	0.1256130886
111	0.1255020151
112	0.1253256841
113	0.125180532
114	0.1250678873
115	0.1248892779
116	0.1247535276
117	0.1245436382
118	0.124324317
119	0.1241639338
