iter	Passed	Remaining
0	37	18868
1	84	20973
2	129	21427
3	164	20454
4	209	20722
5	270	22270
6	316	22275
7	352	21652
8	388	21197
9	425	20861
10	460	20477
11	496	20198
12	529	19848
13	566	19650
14	602	19469
15	644	19507
16	691	19637
17	726	19459
18	762	19313
19	799	19192
20	847	19339
21	894	19439
22	939	19489
23	987	19581
24	1035	19675
25	1083	19747
26	1125	19717
27	1163	19607
28	1199	19481
29	1234	19345
30	1272	19248
31	1312	19194
32	1358	19218
33	1403	19239
34	1437	19100
35	1479	19067
36	1529	19135
37	1564	19015
38	1606	18988
39	1638	18838
40	1682	18839
41	1716	18715
42	1752	18620
43	1784	18493
44	1821	18418
45	1854	18303
46	1889	18209
47	1924	18124
48	1960	18042
49	1997	17974
50	2033	17899
51	2069	17831
52	2110	17804
53	2146	17731
54	2182	17657
55	2218	17590
56	2254	17520
57	2297	17506
58	2340	17496
59	2387	17511
60	2422	17430
61	2459	17375
62	2493	17295
63	2527	17220
64	2561	17140
65	2594	17059
66	2628	16990
67	2662	16914
68	2696	16846
69	2743	16851
70	2776	16775
71	2820	16765
72	2856	16707
73	2897	16681
74	2934	16628
75	2978	16615
76	3016	16570
77	3051	16512
78	3088	16461
79	3125	16410
80	3160	16350
81	3199	16307
82	3240	16279
83	3285	16271
84	3322	16222
85	3362	16187
86	3409	16186
87	3444	16124
88	3487	16105
89	3533	16097
90	3568	16036
91	3611	16014
92	3645	15952
93	3677	15882
94	3710	15818
95	3743	15754
96	3776	15689
97	3809	15628
98	3855	15618
99	3890	15563
100	3925	15506
101	3968	15483
102	4003	15430
103	4038	15377
104	4075	15332
105	4112	15285
106	4147	15234
107	4183	15183
108	4231	15178
109	4274	15156
110	4320	15140
111	4366	15125
112	4403	15079
113	4443	15043
114	4478	14993
115	4524	14977
116	4561	14932
117	4598	14887
118	4642	14862
119	4687	14843
120	4732	14822
121	4777	14803
122	4815	14759
123	4851	14710
124	4888	14666
125	4924	14618
126	4964	14580
127	4999	14530
128	5036	14484
129	5074	14442
130	5120	14422
131	5170	14413
132	5213	14387
133	5260	14367
134	5297	14322
135	5341	14296
136	5385	14270
137	5431	14247
138	5468	14201
139	5511	14173
140	5555	14146
141	5603	14127
142	5646	14096
143	5677	14037
144	5713	13987
145	5748	13938
146	5783	13888
147	5820	13843
148	5870	13830
149	5906	13782
150	5945	13741
151	5993	13721
152	6038	13695
153	6089	13682
154	6134	13654
155	6182	13632
156	6217	13584
157	6270	13572
158	6321	13557
159	6364	13524
160	6399	13473
161	6431	13419
162	6473	13383
163	6507	13332
164	6568	13336
165	6613	13305
166	6648	13256
167	6692	13226
168	6737	13194
169	6789	13178
170	6825	13132
171	6862	13087
172	6911	13063
173	6958	13036
174	6996	12994
175	7035	12951
176	7102	12961
177	7142	12919
178	7177	12872
179	7213	12823
180	7255	12786
181	7289	12735
182	7331	12700
183	7376	12668
184	7422	12639
185	7455	12586
186	7498	12550
187	7534	12503
188	7568	12454
189	7612	12420
190	7645	12369
191	7678	12317
192	7712	12267
193	7746	12218
194	7780	12169
195	7827	12140
196	7875	12112
197	7909	12063
198	7947	12020
199	7982	11973
200	8029	11943
201	8065	11899
202	8101	11852
203	8138	11809
204	8185	11779
205	8222	11735
206	8261	11694
207	8299	11650
208	8338	11609
209	8385	11580
210	8432	11549
211	8480	11520
212	8524	11486
213	8558	11438
214	8592	11389
215	8625	11341
216	8662	11297
217	8697	11251
218	8730	11202
219	8765	11155
220	8804	11115
221	8842	11072
222	8882	11033
223	8918	10988
224	8963	10955
225	9000	10911
226	9036	10867
227	9072	10823
228	9119	10791
229	9163	10757
230	9198	10712
231	9233	10666
232	9274	10627
233	9310	10583
234	9350	10544
235	9387	10501
236	9428	10462
237	9468	10423
238	9504	10379
239	9566	10363
240	9603	10320
241	9636	10273
242	9670	10227
243	9704	10182
244	9737	10135
245	9771	10089
246	9817	10055
247	9850	10009
248	9885	9964
249	9927	9927
250	9973	9893
251	10008	9849
252	10049	9811
253	10094	9776
254	10132	9734
255	10175	9698
256	10213	9657
257	10252	9617
258	10297	9581
259	10333	9538
260	10371	9496
261	10406	9453
262	10452	9418
263	10498	9384
264	10534	9341
265	10579	9306
266	10615	9263
267	10651	9220
268	10685	9176
269	10732	9142
270	10768	9099
271	10805	9057
272	10841	9014
273	10876	8971
274	10918	8933
275	10967	8901
276	11013	8866
277	11060	8832
278	11106	8797
279	11146	8758
280	11184	8716
281	11221	8675
282	11259	8633
283	11298	8592
284	11344	8557
285	11387	8520
286	11430	8483
287	11478	8449
288	11543	8427
289	11577	8383
290	11612	8340
291	11647	8297
292	11680	8251
293	11714	8208
294	11758	8171
295	11791	8126
296	11837	8090
297	11871	8046
298	11908	8005
299	11946	7964
300	11982	7921
301	12018	7879
302	12052	7836
303	12086	7792
304	12122	7750
305	12168	7714
306	12214	7678
307	12249	7636
308	12293	7598
309	12339	7563
310	12377	7521
311	12416	7481
312	12478	7455
313	12538	7427
314	12584	7390
315	12630	7354
316	12662	7309
317	12695	7265
318	12740	7229
319	12774	7185
320	12808	7142
321	12852	7104
322	12897	7067
323	12945	7032
324	12993	6996
325	13054	6967
